ИНН,дата_регистрации,физлицо
302203512,2012-02-15,0
303197970,2015-02-04,0
303294226,2015-04-08,0
301132000,2009-04-07,0
302701842,2013-09-09,0
308408687,2021-04-19,0
307602409,2020-07-29,0
302982043,2014-06-18,0
302490410,2013-02-07,0
304042245,2016-06-15,0
306458532,2019-05-27,0
306973225,2019-12-26,0
206610687,2006-05-31,0
305840161,2018-11-06,0
303085723,2014-11-07,0
309850123,2022-09-09,0
300746313,2008-03-04,0
308334321,2021-03-27,0
305830245,2018-10-31,0
305704574,2018-08-15,0
309576416,2022-05-23,0
305381267,2018-03-06,0
303429467,2015-08-27,0
304573795,2017-01-26,0
304613285,2017-02-06,0
302725306,2013-10-09,0
308415853,2021-04-20,0
302221166,2012-03-01,0
309527903,2022-05-07,0
306423932,2019-05-16,0
201051951,1995-07-03,0
204747897,2003-12-16,0
305371144,2018-03-03,0
304964094,2017-06-28,0
310784998,2023-09-15,0
305171188,2017-12-13,0
302495934,2013-02-12,0
307545598,2020-07-06,0
309703454,2022-07-06,0
305369399,2018-03-02,0
306488954,2019-06-08,0
307560200,2020-07-09,0
203227784,2000-03-30,0
300319606,2007-03-02,0
300410827,2007-04-17,0
310911808,2023-11-08,0
201057745,1995-07-28,0
303404696,2015-07-28,0
304943263,2017-06-13,0
300754311,2008-03-11,0
303914419,2016-04-25,0
306656634,2019-08-21,0
308095343,2021-01-19,0
204828638,2004-02-03,0
311620869,2024-09-16,0
201853934,1996-07-05,0
310036692,2022-11-23,0
307970538,2020-12-07,0
306719017,2019-09-19,0
308309572,2021-03-18,0
305794852,2018-10-09,0
307537077,2020-07-03,0
206636013,2006-06-07,0
305831576,2018-10-31,0
307219187,2020-03-10,0
308941722,2021-10-08,0
300812129,2008-04-22,0
309828250,2022-08-30,0
302944097,2014-05-12,0
307086860,2020-02-03,0
200795367,1996-11-18,0
301282464,2009-08-05,0
307513115,2020-06-26,0
305494309,2018-04-18,0
303901521,2016-04-14,0
308932384,2021-10-05,0
300994568,2008-12-01,0
308196519,2021-02-15,0
311821594,2025-01-09,0
309862155,2022-09-14,0
302728301,2013-10-14,0
204371361,2003-02-05,0
306479094,2019-06-03,0
304850815,2017-04-24,0
305118805,2017-11-02,0
201711200,1996-04-02,0
307638710,2020-08-13,0
200535214,1990-12-20,0
305444013,2018-03-29,0
207103754,2010-12-10,0
310847467,2023-10-12,0
308775311,2021-08-12,0
204174890,2003-05-14,0
311570267,2024-08-23,0
302956367,2014-05-21,0
201158929,1995-03-16,0
308648698,2021-07-05,0
202968703,1999-06-06,0
302588628,2013-04-24,0
309595321,2022-05-30,0
308318181,2021-03-23,0
304076528,2016-06-24,0
307476296,2020-06-16,0
310502785,2023-05-23,0
306239495,2019-03-14,0
311153072,2024-03-05,0
204733654,2003-12-02,0
303261204,2015-03-16,0
311423495,2024-06-25,0
201934896,1996-02-15,0
309674524,2022-06-24,0
309775073,2022-08-05,0
307715418,2020-09-10,0
308331302,2021-03-26,0
305847627,2018-11-09,0
305171267,2017-12-13,0
201577724,1994-08-02,0
305238901,2018-01-23,0
200258464,1967-12-26,0
303414383,2015-08-10,0
200625481,1997-12-25,0
310833310,2023-10-06,0
310554190,2023-06-12,0
309065514,2021-11-23,0
308348264,2021-04-01,0
307177684,2020-02-26,0
303287946,2015-04-04,0
310829702,2023-10-04,0
201879592,2010-03-23,0
309944353,2022-10-14,0
305489899,2018-04-16,0
306622503,2019-08-05,0
303726367,2016-01-15,0
309896460,2022-09-26,0
302767293,2013-12-11,0
305180920,2017-12-20,0
305601822,2018-06-12,0
200935509,1995-03-11,0
307867704,2020-11-02,0
310373963,2023-04-04,0
305561644,2018-05-22,0
308037944,2020-12-31,0
308637814,2021-06-30,0
305386315,2018-03-07,0
311053474,2024-01-23,0
200524196,1994-12-27,0
201964954,1996-01-16,0
311281871,2024-04-29,0
305926457,2018-12-29,0
200844566,1998-04-14,0
307078371,2020-01-30,0
306428459,2019-05-17,0
300264462,2007-02-15,0
202045159,1998-07-22,0
309337862,2022-03-03,0
302687401,2013-08-19,0
309996123,2022-11-04,0
309658391,2022-06-19,0
308134444,2021-02-01,0
307865682,2020-10-30,0
202717334,1998-12-18,0
309881590,2022-09-20,0
304269864,2016-08-24,0
300913065,2008-08-15,0
310262555,2023-02-24,0
302675678,2013-08-02,0
310240829,2023-02-17,0
309977716,2022-10-28,0
305763391,2018-09-20,0
307121785,2020-02-11,0
309760970,2022-08-01,0
306303875,2019-04-04,0
303009253,2014-07-21,0
312182242,2025-06-03,0
307913844,2020-11-17,0
310040959,2022-11-24,0
301538182,2010-03-12,0
308041932,2021-01-04,0
305270516,2018-02-02,0
308844154,2021-09-09,0
302121132,2011-10-19,0
306589662,2019-07-19,0
307985193,2020-12-11,0
308253770,2021-03-02,0
309433546,2022-04-04,0
306836900,2019-11-05,0
306170093,2019-02-21,0
304897732,2017-05-18,0
303251896,2015-03-10,0
304897004,2017-05-18,0
207143570,2012-02-23,0
303094443,2014-11-19,0
305727024,2018-09-05,0
306874238,2019-11-19,0
308030320,2020-12-28,0
200804401,1995-07-20,0
302787997,2014-01-09,0
308924995,2021-09-30,0
305116665,2017-11-01,0
203391852,2000-10-02,0
205827757,2005-09-26,0
307986746,2020-12-11,0
310539786,2023-06-06,0
206231201,2006-03-20,0
311976339,2025-03-12,0
309445791,2022-04-07,0
201079536,1998-12-24,0
311043107,2024-01-17,0
307910413,2020-11-16,0
305505394,2018-04-23,0
308665353,2021-07-12,0
302753010,2013-11-21,0
201121373,1995-09-21,0
305928501,2019-01-04,0
304847936,2017-04-21,0
304515312,2017-01-06,0
305856884,2018-11-15,0
201219850,1998-12-30,0
302817665,2014-02-04,0
311308305,2024-05-08,0
307856449,2020-10-27,0
205723619,2005-06-22,0
204239967,2002-11-06,0
306934874,2019-12-11,0
305569498,2018-05-25,0
305358816,2018-02-27,0
307773039,2020-09-29,0
310374922,2023-04-05,0
305726033,2018-09-05,0
307591463,2020-07-23,0
303144181,2015-01-09,0
308216634,2021-02-19,0
304168981,2016-07-21,0
311514381,2024-08-01,0
307967967,2020-12-04,0
305209311,2018-01-10,0
301763102,2010-12-21,0
308125519,2021-01-27,0
308010384,2020-12-18,0
302102836,2011-09-20,0
301028864,2009-01-15,0
304948350,2017-06-16,0
206025322,2006-02-01,0
301696067,2010-09-09,0
303457361,2015-09-30,0
311514667,2024-08-01,0
303078564,2014-10-27,0
308516656,2021-05-24,0
200562823,1993-04-28,0
302149254,2011-12-06,0
305859667,2018-11-16,0
305116239,2017-11-01,0
302322848,2012-06-08,0
302673206,2013-07-30,0
200663483,1997-03-13,0
308462234,2021-05-04,0
302794965,2014-01-16,0
302728910,2013-10-16,0
310009844,2022-11-10,0
301310602,2009-09-08,0
311238471,2024-04-13,0
305330725,2018-02-20,0
308419927,2021-04-21,0
305344779,2018-02-23,0
310944362,2023-11-23,0
303919119,2016-04-28,0
304981408,2017-07-11,0
309387334,2022-03-18,0
309136005,2021-12-20,0
307836267,2020-10-20,0
304918482,2017-05-30,0
307460104,2020-06-10,0
201720467,1995-08-19,0
306895433,2019-11-27,0
302920049,2014-04-17,0
311008188,2023-12-28,0
309347748,2022-03-05,0
306357420,2019-04-22,0
307774298,2020-09-30,0
304478493,2016-12-15,0
205190999,2004-08-09,0
308880997,2021-09-21,0
304113869,2016-07-04,0
301985134,2011-05-10,0
302474628,2013-01-25,0
305940060,2019-01-07,0
203951147,2002-03-19,0
305826430,2018-10-29,0
205860282,2005-10-28,0
308389808,2021-04-13,0
304374093,2016-10-14,0
